#,Region,Company,Product,Date of Approval,Status,Action
43,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
44,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
45,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
46,Western Region,Indian Oil Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
47,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
48,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
49,Western Region,Indian Oil Corporation Limited,SKO (in KL),16/03/2022,Approved,View & Print
50,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
51,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
52,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
53,Central Region,Indian Oil Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
54,Central Region,,,,,
,,Indian Oil Corporation Limited,SKO (in KL),16/03/2022,Approved,View & Print
55,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
56,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
57,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
58,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),16/03/2022,Approved,View & Print
59,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
60,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),06/03/2022,Approved,View & Print
61,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),06/03/2022,Approved,View & Print
62,Central Region,Indian Oil Corporation Limited,HSD (in KL),06/03/2022,Approved,View & Print
63,Central Region,Indian Oil Corporation Limited,MS (in KL),06/03/2022,Approved,View & Print
64,Central Region,Indian Oil Corporation Limited,SKO (in KL),06/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
65,Central Region,Indian Oil Corporation Limited,,06/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Subsidized LPG (No.,,,
66,Central Region,Indian Oil Corporation Limited,,06/03/2022,Approved,View & Print
,,,of Cylinder),,,
,,,Commercial LPG (No.,,,
67,Central Region,Indian Oil Corporation Limited,,06/03/2022,Approved,View & Print
,,,of Cylinder),,,
68,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
69,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
70,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
71,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
72,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
73,Western Region,Indian Oil Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
74,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
75,Western Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
76,Western Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,of Cylinder),,,
77,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
78,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
79,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
80,Central Region,Indian Oil Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
81,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
82,Central Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
83,Central Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,of Cylinder),,,
84,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
85,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
86,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
87,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
88,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
89,Eastern Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
90,Eastern Region,Indian Oil Corporation Limited,,01/03/2022,Approved,View & Print
,,,of Cylinder),,,
91,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
92,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
93,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
94,Western Region,Indian Oil Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
95,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
96,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
97,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
98,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
99,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
100,Central Region,Indian Oil Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
101,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
102,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
103,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/02/2022,Approved,View & Print
104,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/02/2022,Approved,View & Print
105,Western Region,Indian Oil Corporation Limited,SKO (in KL),04/02/2022,Approved,View & Print
106,Central Region,Indian Oil Corporation Limited,SKO (in KL),04/02/2022,Approved,View & Print
107,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),04/02/2022,Approved,View & Print
108,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
109,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
110,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
111,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
112,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
113,Western Region,Indian Oil Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
114,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/02/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
115,Western Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
116,Western Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,of Cylinder),,,
117,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
118,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
119,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
120,Central Region,Indian Oil Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
121,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/02/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
122,Central Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
123,Central Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,of Cylinder),,,
124,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
125,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
126,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/02/2022,Approved,View & Print
127,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/02/2022,Approved,View & Print
128,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/02/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
129,Eastern Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
130,Eastern Region,Indian Oil Corporation Limited,,01/02/2022,Approved,View & Print
,,,of Cylinder),,,
131,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
132,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
133,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
134,Western Region,Indian Oil Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
135,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
136,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
137,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
137,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
138,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
139,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
140,Central Region,Indian Oil Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
141,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
142,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
143,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
144,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
145,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
146,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
147,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
148,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
149,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
150,Western Region,Indian Oil Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
151,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/01/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
152,Western Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
153,Western Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,of Cylinder),,,
154,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
155,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
156,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
157,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
158,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
159,Central Region,Indian Oil Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
160,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/01/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
161,Central Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
162,Central Region,Indian Oil Corporation Limited,,,,
,,,of Cylinder),01/01/2022,Approved,View & Print
163,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
164,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
165,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/01/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
166,Eastern Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
167,Eastern Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,of Cylinder),,,
168,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
169,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
170,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
171,Western Region,Indian Oil Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
172,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
173,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
174,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
175,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
176,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
177,Central Region,Indian Oil Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
178,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
179,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
180,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
181,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
182,Western Region,Indian Oil Corporation Limited,SKO (in KL),02/12/2021,Approved,View & Print
183,Central Region,Indian Oil Corporation Limited,SKO (in KL),02/12/2021,Approved,View & Print
184,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),02/12/2021,Approved,View & Print
185,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
186,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
187,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
188,Western Region,Indian Oil Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
189,Western Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
190,Western Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,of Cylinder),,,
191,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
192,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
193,Central Region,Indian Oil Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
194,Central Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
195,Central Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,of Cylinder),,,
196,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
197,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
198,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
199,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
200,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
201,Eastern Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
202,Eastern Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,of Cylinder),,,
203,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
204,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
205,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
206,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
207,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
208,Western Region,Indian Oil Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
209,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
210,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
211,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
212,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
213,Central Region,Indian Oil Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
214,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
215,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
216,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
217,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
218,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
219,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
220,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
221,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
222,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
223,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
224,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
225,Central Region,Indian Oil Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
226,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/11/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
227,Central Region,Indian Oil Corporation Limited,,01/11/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
228,Central Region,Indian Oil Corporation Limited,,01/11/2021,Approved,View & Print
,,,of Cylinder),,,
229,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
230,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
231,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/11/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
232,Eastern Region,Indian Oil Corporation Limited,,01/11/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
233,Eastern Region,Indian Oil Corporation Limited,,01/11/2021,Approved,View & Print
,,,of Cylinder),,,
234,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
235,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
236,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
237,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
238,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/11/2021,Approved,View & Print
239,Western Region,Indian Oil Corporation Limited,MS (in KL),01/11/2021,Approved,View & Print
240,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/11/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
241,Western Region,Indian Oil Corporation Limited,,01/11/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
242,Western Region,Indian Oil Corporation Limited,,01/11/2021,Approved,View & Print
,,,of Cylinder),,,
243,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
244,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
245,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
246,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
247,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
248,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
249,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
250,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
251,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
252,Central Region,Indian Oil Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
253,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
254,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
255,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
256,Western Region,Indian Oil Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
,,,Subsidized LPG (No.,,,
257,Western Region,Indian Oil Corporation Limited,,06/10/2021,Approved,View & Print
,,,of Cylinder),,,
,,,Subsidized LPG (No.,,,
258,Central Region,Indian Oil Corporation Limited,,06/10/2021,Approved,View & Print
,,,of Cylinder),,,
,,,Subsidized LPG (No.,,,
259,Eastern Region,Indian Oil Corporation Limited,,06/10/2021,Approved,View & Print
,,,of Cylinder),,,
260,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
261,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
262,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
263,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
264,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
265,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
266,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
267,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
268,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
,,Indian Oil Corporation Limited,,,,
269,Western Region,,MS (in KL),01/10/2021,Approved,View & Print
270,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/10/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
271,Western Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
272,Western Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,of Cylinder),,,
273,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
